,name,link,fit,sleeve,length,pattern,material,neckline,skirt,detail,imagefile
0,폴로 랄프로렌 여성용 피케 카라 반팔 티셔츠 메쉬 미니 원피스,https://cr2.shopping.naver.com/adcr.nhn?x=M6tedP%2F0zeujkSU205In0v%2F%2F%2Fw%3D%3DsAsUVUtnjWSOPDXs2w%2FlnpZB%2BlidjL76HLv%2BqMMRgxmaMcbbp6L5dZLx6INHXlWdf5GU0%2BPx%2BSsy6W4h9ipTv0IYlFAdf1OFsetsPTCIBnAtPOdYsvqvAV2kweJQXbUmGnOgqVl7dFsekTjDehApYGb%2FbUDqujVbN%2BFnMT1tEoWfVCIjg9vapoP%2F0Okn%2BCw7IlQdlMuvvhBmIRlGFjVUrgJ9%2Bw5fyb2S%2B0WKUIuNO0Akl8HAYn6NkzRDrGPGQ2ZUxj1Pl86IdndG9Dz0F2vckz0aAb%2FOdjaJ2XbA%2BJKlL%2B499LsW4RgipVPKA%2F2IN4cAJ4mmic2vQ8l3OPvPdLBTB5%2B6UB08G4lR0a9fquA%2FPNrIb%2BGuib7by5snc49Z7IV8ObDNMnECy5WelnL3D2NLFeI4FIdX0RH9maAYxxSnIi%2FF4%2F4wjGUTpX17acYJwVxnw5KbcNYhhgGUinf3ehbOvW0eTZ4oVeDkapQLbW%2BGMcTu0Qf1%2FLhQpdXse%2B2TsK1PjXyCyODHZAbX63U9nAFO7XpdAI5nwCWM%2BWLwUTZ%2BaF%2FMsVucfuNkUhrUwHYJkq31BSl%2FueJbXnNRJkI2U8%2BeurpA6qO3TN8fle4qydgXmynRzSKS97B2pQuczc1CH74ctmElXS6hoPsD5tTOpUV50UiHhKoH3GzEJI6jIbSQslCENI3D0%2BLTLZTltoBZ51NYc9232x7h%2FeyRQ%2BRA6XhPPfsGgOZWUqXXHMN5gJoRec%2FPDYWqTuldUv9DH8IX32yu5HfwuWJYz4wubrSCkSCtzRs9nN3b%2Bz%2B9MOXF5sIHrDJrhcvlx0WDVIxRdwgFzLBzc&nv_mid=82124063333&cat_id=50000807,기본핏,반팔,미니,무지,면,칼라넥,H라인,무지,img_82124063333_0.png
0,[무배] 다나 주름 배색 원피스,https://cr2.shopping.naver.com/adcr.nhn?x=wJ0gsbOJZbR2IATb3dXhgP%2F%2F%2Fw%3D%3DsY7lPOWx5q5pmR5s%2F5z8vVwSUoNCuSjx%2BaFxUO5jNftxnLhomARe4MGFJC%2FMcSLWE0iSzuCe%2BHcLvO3VdS64FSql6LyjznO%2FsH0Pfuqo3X76p4IBYqxUkkcWo13LGeTJN4O%2FQbzb%2BX6TyvmbpYGYSgBMLD9br1gOfQnGg%2Bdc7%2BCqOooOzgUJeRsDqrjfR6rRGlFbp5QbCBHoyHQ1sm7rIc31wFkbO30K4iH8DIsVS%2F5IqUOY4GKYy22Pvlriy3rEErv%2BssR45F7%2F%2FYF25qJAmyrnorlAFBEuxAUIhghMF0kClopbpieagPRoipJ%2FEZ19DagiK5o1NShQDksdLRQC9awVOsrG0SlPHzAh5vONfPLDpDlJcsdPZT51WM%2FbOr%2FcSsWc2wrslQVHfFMllT7R0zxrv6tDzHWai9n4avpR9ePhMYlWNuRiQ2JBTSwEynZL8XVJCX7%2Fa1s5tW2Ezltcoz4mMXXsj%2B9z6b3vijukvsN7Bmwp8%2FKbhenreNR2Hl6wMnM2DvQKGXG9TnNjHzeAy0g6YBFi%2BJg8p7C7ctJBiq1N%2BMTm9A07wDjlNrg47HozJL%2FrIBXiaPCWOLzK%2Fe%2BeUIAJy234AZSSi%2B0coK2KwJH%2BmkYbJNX0Ce0McxBdKpxWhEinxHxIEwZl%2FK0hFOiEpvaiBARCYg3JLI339GkXJ95tqyfKBtcfMgdka1cs737huOo0jdEKElR4cjvelg%2BJQy4bYKuaqUVsBUYa7aY4zS59qbbmQA4hwUOygiXYY%2Fman&nv_mid=82340191493&cat_id=50000807,루즈핏,긴팔,롱,무지,"면, 폴리에스테르",라운드넥,H라인,기타,img_82340191493_0.png
0,[일루스트리스일루전] BACK RIBBON SLEEVELESS DRESS,https://cr2.shopping.naver.com/adcr.nhn?x=dEUK56A4ysiZ3RycZOHU1v%2F%2F%2Fw%3D%3DsuvkVZSDBQx7DjUDwW8KDJ2ZvlwyeaHvcn1YqVVDRzFRgJU2d7lx1BhkfJV%2FoIuOQ%2BttBDACuAsYaTFSSiWEUpGM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiChc%2Fd1hpihGo%2FV1vLvsjJt3SwAEMM96cSWFC08vFh7cmG8BnDHD4aSojHRGUYCwmac%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58MJe3O6RKwkITE0GeI6PyDxYnD758uREtrtLkZpWfC36lJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ995RxbOccbBbPKhTOLIBixzWsseQz8J1%2B6VYaxPySsbcfaDjCW6HUREq33zSyI9sn7lyQEKPmai5Za4HPioqD6QtWc1M1%2B8hgE13ntvC9yEeYgahgsHoGmRycQ6nfhrMnhLSwZ2mNLf3qlf0wRErSaMRlP6Cinvzu%2F5%2F2c1ncw7ob5xddocoSeKfMXV10Tae0r%2FglOAN1IYW95AE1PiaGsYAFWAEUNlpGd711pnsH6TsEk4sS53jAaNQI8USiR2zkh4SqB9xsxCSOoyG0kLJQhhyR6z7IO7E8DWpO99eapjwgK4gfPg%2BQ1UYWeEImCAsKeUwHLPlFxNtrdjn9GnkSwiZphNl7I1Dq5N5Ivv6qRi2acleUJKLLHIzR%2Fat6fehNTCJ%2FQYeszxoHPlKmWZk2elgeRLUWgyH2vXkNC5m4xew%3D%3D&nv_mid=80398286117&cat_id=50000807,기타,기타,롱,기타,폴리에스테르,기타,기타,기타,img_80398286117_0.png
0,(무료배송)하이넥 골지 니트원피스,https://cr2.shopping.naver.com/adcr.nhn?x=tGW3X8tjN5sISpE2Rh1ni%2F%2F%2F%2Fw%3D%3Ds2m5E7f076O37AVxLx3V3gyAt7Ofm9Lgy%2FvrWPHkYxGuCyK898lPr71Pjs4wRIA%2Bfgh71VSVZi%2F8rlEnTc%2FQtT2Vyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFTSmi%2FDXF8oJ%2F5E2ME%2BpJOHXqYNT22Pk%2BgDzKgGMA2G3rRYwtCCUNNBdLfe7PKxFDGUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhEC0quTTSuOqAgvydWDyPZ3jQ7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB%2BwEBcUbysH25Ev%2BTjGE2EAO0AXso2ldMfbLs%2BEiXBg8ED%2BhhiJy%2BeDJvd2vJjkI8Z3e%2FHvMT3I3mlVKD%2Bh8dFfpELVjd3rkFltvbtcFjbALbIoF%2FoWue1XsW6z76%2Fqw9ST8VPKyzRDi2CGnatLWIXDfp3lSi1VYt4eyshrcJe0Rt6FAEP%2FIhQfVBxiVOO35oiGPv2KiwHorDmlfYLCMQ3NGwCSn%2FRNbo3y578GFD%2F9001vQ7OaIYMOAT38lWJXfwCDK2qQ%2B%2BpQV%2FACIi1lHWdQdpRMVFK0uBnPvgdvCP0H5UcW1TD5%2BlfBfW%2BfYGSwK4LIx8wDWLzZMcJHA0%2BcseEHDTWfTSbOkeAEaX3XFqDwxe6b4pQk8aZV%2B9EA5RMRCNNG%2FA1PD5R%2BtLF07dNq2TpE4XL5cdFg1SMUXcIBcywc3A%3D%3D&nv_mid=82099503752&cat_id=50000807,슬림핏,민소매,미디,무지,아크릴,터틀넥,H라인,무지,img_82099503752_0.png
0,[오늘출발] 폴로 랄프로렌 리넨 스트라이프 셔츠 롱원피스,https://cr2.shopping.naver.com/adcr.nhn?x=jnvkwrzwo7H7aGmsh0isSv%2F%2F%2Fw%3D%3DsA0Q8A%2BipaYeD6gOl3OEMYy%2B7A2OLNmTWmSXDU5R7xLqzZsfshdXj%2BY93MhMarXh9Fe9c7rfRE885Efi5hKxUrGM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiChc%2Fd1hpihGo%2FV1vLvsjJt3SwAEMM96cSWFC08vFh7cmG8BnDHD4aSojHRGUYCwmac%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58M9qpsvELx0%2FCJMzlXsBecvh19JXm91R2Ml0lBmIRnxfFJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ%2BHz%2BtVHMahaVL4ObM%2BN3s2K7dH4IeDfYIu5im3DHMMiPGhB8Ps6FHHxGqpxVzRGw0Ta4k0SUObXOD9d9J4YqGUPs16cJ6xPix%2FZ1w1%2BlKoaVn1hwmu1P9m7llqEwEoI33bsTO92%2FMMKIgieqwF4bQo3eDr4LIYbmXIrRF%2Fz6U3W6oL2V6MoALCxttH093CI1pf9xw%2BRoXy1SbY2ocwe2y0DpgEWL4mDynsLty0kGKrU34xOb0DTvAOOU2uDjsejMmOqE7TMyCvRJgLRDKQLEsxHqnw3X1OUqd1XcYBjZJuDz4Shn3lmCldI%2BpuRVVBWC2QNNFtoc9rYu7tAEbcCAPA3g8PP2qWwdIfKfaea1i5URGyfpqIaezVLJGOrdW9d1fsXMqvnHmKOvU7SH86TqCZj0Y4bXxligrGQRCRTLH5I9tHwWBtCY%2BPzTtIZBccJLGbVktbD4XnHxYf4ABq9Bam&nv_mid=82047519848&cat_id=50000807,기본핏,긴팔,롱,스트라이프,면,칼라넥,A라인,기타,img_82047519848_0.png
0,(무배) 면 반팔 박스 롱 원피스 모던정,https://cr2.shopping.naver.com/adcr.nhn?x=cWdkuJBSD1IQ5RHiEFedaP%2F%2F%2Fw%3D%3DsskctNQhv1Eua62G%2Foq%2BbEBQTZUuto7FK23qT7dGU7y0PFv%2FWDZ11aXZjEBYXSpL3Liqgoo5fU5eoPW1TOV3dHGM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiChc%2Fd1hpihGo%2FV1vLvsjJt3SwAEMM96cSWFC08vFh7cmG8BnDHD4aSojHRGUYCwmac%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58M9qpsvELx0%2FCJMzlXsBecv6CzgpiA7HzBwlRDWbnR84FJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ8CwvL8wdUogZb8opb%2FXSjKYbTCwrnx4IQueecCukJWrvGhB8Ps6FHHxGqpxVzRGw0HLl388PCgufOL9YBlIja50NsiK7LvVGBacFK25GHrfPsf1H6V9fkeFSSJFy23o93PSg6qKPjeTWbWiiYcEnjBF9DBX1BUu9oB0HIXaFlhLgFFMdoeIg%2B12pj0Y4lBGm9YhE0nPlOt4R4kp6j5GU%2F64sbBnV3rTfEAv%2FZGwLGz0GQtWDjyN%2FNBUVh5W1E2rzUky0UeaUwkN%2B2Y7j%2FGs5pbyZkRy79doQJ%2Fvli9infiUQsc%2B8sdcTAl%2FpGOcvc7NMrub%2FnoxMzZGdWLExgrFrHqB%2ByhD%2B27DBacaejqw9FKQoUMemAx%2BsKAvvx4LQicOVWkkThcWNRWK71tq4fb%2FY1a&nv_mid=82055502824&cat_id=50000807,오버핏,반팔,롱,무지,면,라운드넥,H라인,무지,img_82055502824_0.png
0,드레시 브이넥 플라워 꽃 나염 쉬폰 하객 봄 롱 원피스,https://cr2.shopping.naver.com/adcr.nhn?x=Squ%2F%2Bj9v%2Fd8N1m82ZWIS3P%2F%2F%2Fw%3D%3DsbX5lqIsscqgnvn%2B%2Fo2NC65JGCKL39SPwQyHh6uTMCuH4XtHgM9TGkeHhH85puE2PX%2By4%2B1kVLBrPGpgzt9b6itqUHsgHKRqzd6nX3jcvUwOdH42U7aNy%2BGYWPOIcmanYUuRweEbtrjDxTr2yFQPhL7aeR3C1naMu9LcTcg6HL1w9t6zULASmts6a%2B3rUz9Jqobm40a3AfVHNV15D72g8jm26YI%2FkcEfVeLDnwysTo3Mz6gHdnCnifCH8BrjIbXbCvbjQ9K5b4esRjo%2Brg00849WN%2FchhV1d04LIGrXJUbzg427ngu9Ku5Ti5fmyIKbcNfm5IA8mkaCGulhqR4WtRHpI0ATT7UDqLFrBc8%2BGsW470%2FxApvSaEFeNDVBtqKGbO6dWbhBJuMgGTRnlzaOgz%2BfGhB8Ps6FHHxGqpxVzRGw2QgNTUmxagSI6Fu5elVIWiEdyeylnAodW3VCsY7HoTcp9grE6HmoA%2Buq1dBgEtjD2KjfvgHbyHF%2BEV7O15MV%2BTHX245Xnsr35FPWlJPU4t%2F026ZOC9QcKDO%2Br5WD6uYGXahe7rc90wV7d6M7rhuoAekkfTfgWknSUvWfKj3G2ZBPygJqzEapqlwG000ZNciNvg9mRVvlTTu3P9Iycfjo7PiXTbQIJkhKxEum044KssgzRwvi0EPVW7PclJfd7PT0UL4%2Fa2vgouG%2BQ6aS%2Bx%2BSoCpJo%2BdjcDrAKqqnkvnS5%2BRB%2Brwf%2FD2Gb%2FXQi3X%2FOncoM1TJCpud9XUawqlz2SA0wN%2BeaMA9nVllO7bdtMLLdcGFmigv9ebEbry6fg95IYH0s%3D&nv_mid=82363955530&cat_id=50000807,기본핏,긴팔,롱,플라워,"폴리에스테르, 시폰",V넥,A라인,"핀턱, 프릴/러플, 리본",img_82363955530_0.png
0,3월말이후/입고예정/무배 봉긋 깃털 루즈핏 원피스 2컬러,https://cr2.shopping.naver.com/adcr.nhn?x=hogfeTGF8rnAdq8ixY4nU%2F%2F%2F%2Fw%3D%3DsfC1wp2TOH4f%2FvenfuzDaRLqIQVnMEui5dP6atMAMn01FqwYKyuh43VH9V8jQxRnpMhv8IZ3kNKGO8jR8Wj7XioYlFAdf1OFsetsPTCIBnAtPOdYsvqvAV2kweJQXbUmGnOgqVl7dFsekTjDehApYGQoEjJJkoUyc5mFWGkCgFdQydA30JGJt%2FGu%2BxNMC6VedGkakqw%2BJAa2ZMSjCw9K8859%2Bw5fyb2S%2B0WKUIuNO0Akl8HAYn6NkzRDrGPGQ2ZUxcJDK%2FXYRJ%2FC9K0uW%2FnLw1UaAb%2FOdjaJ2XbA%2BJKlL%2B499LsW4RgipVPKA%2F2IN4cAJ4mmic2vQ8l3OPvPdLBTB5%2B6UB08G4lR0a9fquA%2FPNrIyaDXkyRekGBeWJhDk2N8rBHx8%2BruUBOhOneJBv4CJ0UD%2BhhiJy%2BeDJvd2vJjkI8YKAUn%2FVPMr8x0%2BLjJI4Pb7qwjKgWKv8bF%2Fn2GxJM01SvKuvQ69VECPLQ9zkYCJXCNj8sb9yKu6P9IbkIk5Sp44xdDGr465lumsY70JPglgPc0NfzpaYiCCza1EytgpIOYz%2B2XRWX52A%2F3mEwRgamZ%2FkMXlWvAEB2F6PCXZ4b9KxNYdywgZu5hYkkk9F2GGKpFKbq88DRa%2FP%2FVcF6dsgGXbHqnw3X1OUqd1XcYBjZJuD7ThVE%2FBMDGWV5CzWJeDtM23W4ORU6wUAX59Fv%2FRMGmBR8ypq6lmNy2Iz%2B384YDB6be8RJhQGrxJKNWrIVo%2FskQ1TJCpud9XUawqlz2SA0wNwv3%2Ffbyvk5rmN2LXJX1rm809%2F%2Buna0qxiBqDzn244x4%3D&nv_mid=82320698219&cat_id=50000807,루즈핏,7부,롱,무지,"폴리우레탄, 기타",라운드넥,A라인,기타,img_82320698219_0.png
0,[무료배송] 케이프숄 매듭 원피스(3col),https://cr2.shopping.naver.com/adcr.nhn?x=kcRvE78VdS38XXhxcBVjP%2F%2F%2F%2Fw%3D%3DsFZq5GxHn%2FGaObRXWeInhgt%2Fov5a808jxR0U29t%2B%2FCkktT05nUNKav8U%2BvnGDuiJ2oXxVjytz%2F%2B7nadqQ1svcV4YlFAdf1OFsetsPTCIBnAtPOdYsvqvAV2kweJQXbUmGnOgqVl7dFsekTjDehApYGQoEjJJkoUyc5mFWGkCgFdQydA30JGJt%2FGu%2BxNMC6VedGkakqw%2BJAa2ZMSjCw9K8859%2Bw5fyb2S%2B0WKUIuNO0Akl8HAYn6NkzRDrGPGQ2ZUxctfSM9brB5mr9%2BN%2F0eZEE0aAb%2FOdjaJ2XbA%2BJKlL%2B499LsW4RgipVPKA%2F2IN4cAJ4mmic2vQ8l3OPvPdLBTB5%2B6UB08G4lR0a9fquA%2FPNrKAsE%2BtbIekQ17I4njzl3tuBHPk%2Bi4Ik1zN8lhqhHYzC44FIdX0RH9maAYxxSnIi%2FH4hOsztZtb6ADU3DTmffYNIsFuGnQe8dNiC7zU5PoPxApEGMDF2P%2FjLy4ODMJSyc1G0iybFlsFQoq4Ye3X8upb1KucZ%2FRTGLXb2SUpFZMMGYcgfOX5osPTMaPYGppIz5TeD86GQ%2FgSRNz5IfRV7f0W8imzKyJL2acwRO%2BeiVjRLFV%2BMj5hTk4MAdkcHGMGVVoo%2BMijFAZnvbZd8%2FNcFzEXICQrDL%2Fp%2BMpMvozYfgorT9jzxYnTtTAbQv2PfBUACdTEmgYZwjfZgRmXqSPty%2FLGPtBCZKOFJJod9KMNX6ksCvxX9Y3ODtRWR%2F4J9ntQqUhcJgNiZD%2FP0mxSUDCUuUG4ZWZsoOvkr%2FE1Utl%2BjGSfMg%3D%3D&nv_mid=82370532299&cat_id=50000807,기본핏,기타,롱,무지,"폴리에스테르, 폴리우레탄",라운드넥,H라인,기타,img_82370532299_0.png
0,[무배]스퀘어데님원피스(2col),https://cr2.shopping.naver.com/adcr.nhn?x=S%2F9MfT34LLdchZ9qpbcO5%2F%2F%2F%2Fw%3D%3Ds37y16H2rx2ghjrtzZ6mbFTyGTnQtmGc53sT%2B4NTkJMooNWlGaf2c0hNMj9kuSwHt6ULBll97cWDRBg3%2B0LaeMmM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiChc%2Fd1hpihGo%2FV1vLvsjJt3SwAEMM96cSWFC08vFh7cmG8BnDHD4aSojHRGUYCwmac%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58MvcwaJyugslJObIohizNgC2tv5NvdSktuNbe94l%2BKEE1JvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ8mY9s3fNVAPtP4kBpRve8i61QUmvfz%2FOGhyAisi7ndxfGhB8Ps6FHHxGqpxVzRGw3xkQxNkjlG0kVMRhqhHOVADCHTNo2YwkoZpzQl60VXwJP01QyEXgrGMpvfwFYCaqYara0jyHMC5gtDNLFDuROKZzFic7o%2FoLyvYPQvNrLVaC7M7UzAZs2Zpt8UQUbbcDnBYPBRhFOh7PeW105kqFB815fxvA2huRQAwBTkqYFUIqgWIasCYvNoSEr53c%2FG0jkvbyWVRQCOHk1AKlcTxN7s3BIqW4KFAkxhilH4d1uyZrEmYHE1pRX7iGX%2B8OBbla713NWjv55QQMG%2BvEB9fXoTFt5orGLl0xAD8cmW9rNMen%2BE4i9ol8ULD4frEutE4hR2bn5ue9F7cBZo6ZxCLpGu&nv_mid=82419090155&cat_id=50000807,기본핏,민소매,미디,무지,면,스퀘어넥,H라인,무지,img_82419090155_0.png
