,name,link,fit,sleeve,length,pattern,material,neckline,skirt,detail,imagefile
0,샤틴 에스블랑 브이넥 비즈플레어 원피스  S202A635,https://cr2.shopping.naver.com/adcr.nhn?x=VDwaAea8Qp68XVl%2FOyijTP%2F%2F%2Fw%3D%3DspRze4hrD2z91zeXp4xVfwnRUVV6U7cyPQ0vpoPEuKMwtKhADM1ytXnGu095XwFBrWdGnI52%2FqaAR1rExYTpk%2FmVyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFT3UIbu0hai8QDqeOTOtoaCrYwS8g0vbPLHiBsq7X8TveEqKkodQmmHXn%2B34TWkx%2BVUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECMzCUMF2Kq%2BttLEDG8NVe0g7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB9nZmwMiIdHvvO69GVnizRP7Wy%2FUKpH9P%2B8WCx9pgEyiUD%2BhhiJy%2BeDJvd2vJjkI8YsooMXSPX6V7RBlBhAO%2FHPb6MgGXuze2QG8hErh8Jkh%2BV1fE%2FJXq4iL13GAFjcBh21dApZT5czTW6fRbq6%2B9tasbzy532Tz%2Bjzk3MMDpUOql1pKYdDr0KwXE%2FAqfaCN5nxQ87sV5Zm6CEdnjcqgXFVPwthiKuqHBgmSKY34RcX%2FgF1Ft2U%2FBBtfDUqopTKBQsarhOTgVPLDATJdo6CdlL04Xz0xj8eB6CZ5MjYkDTpKcX2wplwchmbi0JikQuoGoDHwh%2FD4Sjd6cjtJwx%2FBOvPxndD0L9HGPoh1MzKy6sfCpn2n%2B%2B25NSbMmxVPrDLuPYszuiICuIrq9pARoJ4djhTCoXIv1ZAsl1yTumpcqlM2TdfkkdHEHXuR1JJ5LW4I6c%3D&nv_mid=82418616773&cat_id=50000807,슬림핏,7부,롱,무지,폴리에스테르,V넥,A라인,기타,img_82418616773_0.png
0,시슬리 레이어드 롱 니트 원피스 (SAKO39961),https://cr2.shopping.naver.com/adcr.nhn?x=kQRpYL9l%2Frm1a06vVmm2gP%2F%2F%2Fw%3D%3Ds6PFN2zPM4C3R7PrRAMY7bvxQxDpHr0PuuK3RsB%2Ff2xnhvSGTlcCi6DJIxMO2ScaoEQNoMk69ldgiizdP%2FLRoeGVyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFT3UIbu0hai8QDqeOTOtoaCrYwS8g0vbPLHiBsq7X8TveEqKkodQmmHXn%2B34TWkx%2BVUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECf2N90yxHbV%2BuKN6CioHT5g7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB%2FsNrKgsOwIsNdPFPbQBo1AZADz8ahFQ6oQRzBB8WlIxfGhB8Ps6FHHxGqpxVzRGw2HMUfYi232FxzBPL1p9OYTNvl9AqMFgnQnC226LvXWSAcGGA%2FoC%2FTZ1bZDCXAjFGqTNhWRvl41ThkdSedFAGmguu1RTBE3x55BhUznDu%2FtZ%2F%2B%2FN9mZB1nHsTsihV0VY6N9bELGykBEkNkuEowN76MHfjE5vQNO8A45Ta4OOx6MyRspSKKo7go73jWVkoJBLNseqfDdfU5Sp3VdxgGNkm4POa1nX2fy%2BLTU5vWgt1RyaRvEycUJ5T98V1ruwXQW7aaIwFaFiI7RTeUKVJtzDrJUcPFXcWDVNR4OVo52%2BQwVFqB%2BisJatR0PX94v%2FyVKXXco%2FiYhR1xDjrHDLdG3gZ45ZWZsoOvkr%2FE1Utl%2BjGSfMg%3D%3D&nv_mid=82275053477&cat_id=50000807,루즈핏,긴팔,롱,기타,"모, 나일론, 아크릴, 폴리에스테르",라운드넥,언밸런스,기타,img_82275053477_0.png
0,샤틴 에스블랑 콩단추 벨트형 원피스 (S201A614),https://cr2.shopping.naver.com/adcr.nhn?x=FHZ6c2MvRkIdNGEotFWQBf%2F%2F%2Fw%3D%3DsAxKktFh2kIeYGM8NBlatYKK2q7DB%2Bsa98D%2FAzwksLc6g%2B4Ml4e%2FJQrW1vhzdXhhSO1IK46pUXTH5q71cYZFB32Vyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFT3UIbu0hai8QDqeOTOtoaCrYwS8g0vbPLHiBsq7X8TveEqKkodQmmHXn%2B34TWkx%2BVUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECZJYvv79lOofmw%2FZHJefISA7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB%2BmWIgdNBP0qG4Qdp1gP%2BH0V36pujzRK%2BlVhdIzxnnhy%2FGhB8Ps6FHHxGqpxVzRGw1giKl9bM032Vl70kHzXYKCjKwriOUJETcAvrWyX1lzJxJehBVCn1pDqiJcB2WWjYEus93rmZmrFgPRFTQe4kMIXIdcQsiTmtyB2QfstrilMv8ugeSibNA4gjWvj%2Be4zdeUt5tiXC%2BG9C6vIDY4C%2BAL8YK26TFRi7wOM56FQ%2FdCbZjRbSgWV0ns9lsZfrqnWcoJvySJqeoInc3nFfN0RkQCH8BLv6ZiJXqI%2FpEVtrJJ1TNqvnwrZBrSsDQ67CkzfomW%2BPuI9jAyWJoYGcL1F9oBtwGMO3WapQQkgPJiD3oPT%2FZVbpqRHXlgf2INSol8Gvzc1a6nHu3VyAGrEjT9ItI8GSfbP%2F6aI%2Fx77ieE7dPNTQ%3D%3D&nv_mid=82325297197&cat_id=50000807,슬림핏,긴팔,롱,무지,폴리에스테르,라운드넥,H라인,벨트,img_82325297197_0.png
0,샤틴 에스블랑 콩단추 벨트형 원피스 (S201A614A),https://cr2.shopping.naver.com/adcr.nhn?x=7AJtZuHp1rpFdADflVvapP%2F%2F%2Fw%3D%3DsdvOlje6Kw1tWP2ofqS6PjrhnC27aV5EHIopxMqIXzjlvjZnhUgFYqsP281hnDQgJ9tP5yUJNOTcRogQCbsvo4GVyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFT3UIbu0hai8QDqeOTOtoaCrYwS8g0vbPLHiBsq7X8TveEqKkodQmmHXn%2B34TWkx%2BVUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECko5thUZO3LMZ9cjnu%2B19nA7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB%2FStmpWv3x3bcIg16cQ%2FLKHsxgLyM72uAqPwqpsyt0ll0D%2BhhiJy%2BeDJvd2vJjkI8aZT4lKAaXMd1MjgtHwg69nvrrg18wOCQeOcoBHcYFYF8veIplHHQY48vEUaf5rXaC1dApZT5czTW6fRbq6%2B9tafQoKs%2F3y9zMj2akxEw0%2BYIKptXj49goz1oSspqDWH3g7NXH%2B3UAOBwYEmsjOjxVknxEbNaZPW1veHckDedaV7CVH1k6LG40ZUr2m7a9K3kjRCnhlP2lxuYIJMy%2F7Zynq1y9%2BNsmGoATqY2rV0D1DUNn%2Fj1IT%2BUT01ym7cPmhnk4IYa2Klmg7uR3Pxk0dFoxEejpv7hYzkNLIKbvvLNz1K86Cw%2Bg0xnBjDxtSQvTeFj1KIMQDF6Ymw6Avyr1nr2HWbHFwcBVyPT7VK9tPLsmMhA%3D%3D&nv_mid=82330128697&cat_id=50000807,기본핏,긴팔,미디,무지,폴리에스테르,라운드넥,H라인,레이어드,img_82330128697_0.png
0,샤틴  에스블랑 플리츠 리본 벨티드 원피스_S201A614,https://cr2.shopping.naver.com/adcr.nhn?x=xYH%2FLXy3hPZOOTl60pIpPv%2F%2F%2Fw%3D%3DsYS5JcCErHjJMNdjFs4bCtLJnHSt8bGO6MRpDzavnfDmiGGU6vg8EOV1ZIDov%2BXAfKXm7ijgoF%2FOuh0GWpDY9tmVyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFT7KoYqDildl2CWIVDSEsHjRh17n08Mk2iiL0xMz5XX8b77mG%2FoXUVRFGzwyJNUmVDUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECFKl%2FRbWlgHrbaHhb14HS0Q7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB9X5N3UnzSzVWTvF2Yz%2FkeS8OjFKWIUnUb%2Bo4N71sAe%2FY4FIdX0RH9maAYxxSnIi%2FEI%2BBIMmfGoDSA6jVxl5RZ7dNI%2F561CM4%2Fu5amZuIL5sfqJKIVDyg%2BwlAZrjr2rFayAE7dTnLFfHpzCAcL4H5n3KMd%2FhncC55I3jhVZJW5koKyGXhUGoso7qXqBGDs0b7AEoefyZiVYsUwaTjS3gWIwwaNYoPmiywlEdfPvH%2Ffo2lhKNOxgFnP6zeNn5QSLenNr4W%2FU4LB0wgqxT8gM2X4L4Xz0xj8eB6CZ5MjYkDTpKcX2wplwchmbi0JikQuoGoDHwh%2FD4Sjd6cjtJwx%2FBOvPx1MV6bY7pFLnqO06j5s6rkjrmSMu4mC9%2Fe9L6kYhQjAszuiICuIrq9pARoJ4djhTCoXIv1ZAsl1yTumpcqlM2TdfkkdHEHXuR1JJ5LW4I6c%3D&nv_mid=82327391741&cat_id=50000807,슬림핏,긴팔,롱,기타,"폴리에스테르, 나일론, 아크릴",V넥,H라인,기타,img_82327391741_0.png
0,[에고이스트] 레이스 믹스 페미닌 니트원피스 (EL2KO360),https://cr2.shopping.naver.com/adcr.nhn?x=Mw2GdAEsqdyLZ%2B3yiq9%2Fdv%2F%2F%2Fw%3D%3DsiiZ%2Fke8xZybLvRvE3Yv%2FsbEHjoIV9cra4FL9%2BvVqAIN1PDMXPgZGvU6Ru4RXxGzqOSTa5SiftZ0Qdy5xuSaoB2Vyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFT7KoYqDildl2CWIVDSEsHjRh17n08Mk2iiL0xMz5XX8b77mG%2FoXUVRFGzwyJNUmVDUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECru5n%2BMutgWGLabMUJToZeQ7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB9o7LXxGua8TvqKUApjI1DqBWhCeBNRdWsZqjYWe5kGoI4FIdX0RH9maAYxxSnIi%2FHLmf7bzETcFd3TS6%2BHSdjkzJrAK%2FFvUPmio4Dy2Ze5gM5PpisQtquZ9aZx4x5J6zSI1hBXijLQPx46qORFrYxDO0AY06EsBLaMbmWILo2jeup9%2FurIIzgQ0U7muY66P5ESQyd7Vkc3Qtq%2BGB0EyhH2Z6A7SRfZDffRx6MNiRv0ENYdywgZu5hYkkk9F2GGKpEcIgxHfxzbB2jWLtQMWKpyFBhZ0XChhS0Rni2lYqLerlyROtl%2F25REBKrFWsKfb2c1ZWI8z%2BHICjyKAJ%2BO9gnN4%2BMuxCithNZPBS0idw5y%2BpzlCX8hPO%2FFmj%2F1J5QEC5NmnJXlCSiyxyM0f2ren3oT3DLENmjqkS1btsvLN5%2FDRQcN2%2FucdMYjcbCcMZFuA6s%3D&nv_mid=82391592618&cat_id=50000807,슬림핏,반팔,미니,기타,레이온/인견,라운드넥,A라인,레이스,img_82391592618_0.png
0,[시슬리sisley]믹스 버튼 브이넥 니트원피스(SAKO35961),https://cr2.shopping.naver.com/adcr.nhn?x=er%2FFl4B5hJuCcMtc4cEGi%2F%2F%2F%2Fw%3D%3Dsg8EcIpgUbEROt3vuNX5oF6Rw7nxN%2FBnwDqlMqYVaSt6y6BPZRtfe2FEJ1Lt7r3DdGfRNvvPesKPKFeMGLmvoVWVyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFT7KoYqDildl2CWIVDSEsHjRh17n08Mk2iiL0xMz5XX8b77mG%2FoXUVRFGzwyJNUmVDUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECYiA8%2BACDdyHHIkxRLSFYlg7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB%2BHc3nWuDcTPiLln%2F5Jre3sRDqWVQdmoW0XnLngx9p2OkD%2BhhiJy%2BeDJvd2vJjkI8YruBkfy2NwK1ruukz6TcCfAZb%2BrpLgRroh1W5QkxnTDWxyQZJxmldRlFlRPL4wYs6lftQ4z44JfMGu1cUhL9mdANPxoWo%2FhqDzSf%2B3NIOePUf0emQSmG%2F1ko8IdJmDqVwylfEulfjCZAvDGefKiUGSnxEbNaZPW1veHckDedaV7Jv3gV1%2FDX%2BS9lvzZBxyswrRjYcLGfyzTj7jTVXrDxyLIKkFRfS912TaX5E6n%2FsOJJCt3PGdSAKx08geePsnZr%2F49JIjULUse8OB3j7rELVJTLmLkC5ap7qx83uti%2F5tYG6E3xd7JiEfyNd8RrLRs38W3misYuXTEAPxyZb2s0x677M%2Bg2QJkWPXrIYNQgXdO3Zufm570XtwFmjpnEIuka4%3D&nv_mid=82199468300&cat_id=50000807,슬림핏,반팔,롱,무지,"모, 아크릴",V넥,A라인,"무지, 기타",img_82199468300_0.png
0,[시슬리sisley]레이스 튜닉 미니원피스(SAOP01941),https://cr2.shopping.naver.com/adcr.nhn?x=H%2Fcp%2FaA4mhWJtg6zNIac8%2F%2F%2F%2Fw%3D%3DsL80e0Frpw2zECVGMUYYUMW%2BFX%2FIs38EQwUIb1PMpVDfhyY38R%2BlpgFmCckMIQqmNGnZ%2B2Ed6UYsAl4INm9kESWM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiC8O2AIcj%2B%2BBE7EYrtuDortmb8%2BPIwiWrte7pBnI22pglQvS62hoqnM5d2BkGRcJq%2Fc%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58NvrJta4S%2B2%2B%2FTRx2zu%2F6oKXBvmCCwuKzL8zz85ngy%2BYVJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ%2Bb8A8TZkTfAZW834IjcanYXSRFZzuZa86hDb0JDLcII%2FGhB8Ps6FHHxGqpxVzRGw13aTH9BAsGvF1WYN3IjY6ChNAgeTA4pl46Ozp59dC5i3aowaxGTWhZ9A44ZfkGpW%2FGsijQfGlOeMXZBJDHCxQp8l1QFIdXsiVlpKGgAEThAHiRBw1LwaqG1Ag6iqRSipNq6MfFtM8Rz%2BkbQDt6yU%2B%2BalaW%2F6x3iUbnfTkAVYP1mgHQ3WgCNuPhKKlRFQC12TYCctt%2BAGUkovtHKCtisCR%2F5iumO%2FU%2F9e%2FA%2BrIs31K0hgsqKvDjOgDTHhOWTZzN%2BD9KtOSlwwkxUl6OaMC7uvrhyvSA%2F8O6JmnW%2BqMQuQoNZDqNI3RChJUeHI73pYPiUMv%2F8EyX%2Ftf8wVsMPf9EOmF0qHKFQ3E0huD3VB1mbCfahA%3D%3D&nv_mid=82148909421&cat_id=50000807,루즈핏,반팔,미니,플라워,"폴리에스테르, 면",라운드넥,H라인,레이스,img_82148909421_0.png
0,[시슬리sisley]플라워 페이즐리 프린팅 롱원피스(SAOP19941),https://cr2.shopping.naver.com/adcr.nhn?x=s1eTv%2FSLnN30jqSrkuWE2f%2F%2F%2Fw%3D%3Dsym6oEfoSCLdO5v1KXZa2isa7HK%2Fbw9CbJM6QsIzuM05ji6S%2BaaeGg%2FkbgmStE0iAbb7HKVI9die8vx%2BFwLXvzmM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiC8O2AIcj%2B%2BBE7EYrtuDortmb8%2BPIwiWrte7pBnI22pglQvS62hoqnM5d2BkGRcJq%2Fc%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58NvrJta4S%2B2%2B%2FTRx2zu%2F6oKSpb7GKRi8buzsEvz1rFg%2B1JvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ8FIitDkUCwZIuUGgX6P%2FuUFHXlpQSqsOl9dKL3iZpfC%2FGhB8Ps6FHHxGqpxVzRGw1QJPGFhc%2BRPmsjujouvwda8Z95Imll%2F1tW3wdKgi364naowaxGTWhZ9A44ZfkGpW8iWlCwIxZySM8%2Fpg41K6yPjjiTV3a01x5pA72XGYKr1jnQKRroApSZc0IbzL7S%2BCAntfT4nquuk9TNF2bbRxxM0asL6yPm01MYa0XCfOfpCrHSjNP4qEuGiFymUfO9mQ%2FsIlPwrATjqMkdHMQS7zFev1d%2F5ISK6DY0lQqj80ncppdnavwF4sWxOPKBeDnPIztnMe4X865ZRtCU6USH6vdfFWitAyKhonkyqbLul2cBL8JCSUOMby4S8oxEACfL2UtmnJXlCSiyxyM0f2ren3oTGxnbZFYVb90hyO48PcdzDVrR%2FTz7HCTEseHCfuiQ6RQ%3D&nv_mid=82203089616&cat_id=50000807,슬림핏,반팔,롱,프린트,폴리에스테르,칼라넥,A라인,기타,img_82203089616_0.png
0,자수 레이스 원피스 SAOP16941,https://cr2.shopping.naver.com/adcr.nhn?x=Yv%2FDFj3GVtNkEe%2Fc6Zojcf%2F%2F%2Fw%3D%3DslZLyXcMdewJRfPP%2FDoOR0PzTMghwFQTgBOlnQmGFE9kvbyLHN%2BqyTEg%2BrDhdViULtPnJ9%2BmI56AxCXLkQYP7HoYlFAdf1OFsetsPTCIBnAtPOdYsvqvAV2kweJQXbUmG26p6nGKOV2U87OPxcmdRThggKStAHODfZSxJlozVwx%2BroEtJiRBDYpXvkKD0DczWGkakqw%2BJAa2ZMSjCw9K8859%2Bw5fyb2S%2B0WKUIuNO0Akl8HAYn6NkzRDrGPGQ2ZUx7h8xy9aZG12pRLKnM3wH0EaAb%2FOdjaJ2XbA%2BJKlL%2B499LsW4RgipVPKA%2F2IN4cAJ4mmic2vQ8l3OPvPdLBTB5%2B6UB08G4lR0a9fquA%2FPNrLYeICgvMUe30ccx2ZklWv9QDKA9wCv4AI1QFj6kvS%2FU44FIdX0RH9maAYxxSnIi%2FGgmwyXlOb9Lhz5WSARIJO4catBrq3mvoWk24vo%2BVQ6dqRg2B4qcIjDI34KU8vu3YTDLvkLt%2BKpJkJecKKM%2FynUNoxfx8hWREFKM2hl48OZHenzttinCUVvhF0Tc%2BxkfuD4PAHxDaEWxxTAWYugiOyFERxx6hfcFWeBYukE16h%2BA79Xf%2BSEiug2NJUKo%2FNJ3KbGA6H8jGrU334IMZ7MM5QigFt3o1MVCLzATt8PoRBxZDW%2BHKPYyLEqVgZI6jeWzmkRIzJRBD8xmMWyrCorLJdYZpyV5QkosscjNH9q3p96E8ALfuOTRGDe%2FrBtuzo5oIAG95s1X%2Fuo03tsPA2P74ZB&nv_mid=82121703034&cat_id=50000807,슬림핏,반팔,미디,기타,폴리에스테르,라운드넥,H라인,레이스,img_82121703034_0.png
